id,tool,token,lemma,assigned_pos,context,absolute_freq,pos_correct,correct_pos,lemma_correct,correct_lemma
84,Stanza,zakončila,zakončit,VERB,Sezónu 1991/1992 však začal již v zámoří v západní hokejové lize (,446,yes,,yes,
85,Stanza,známo,známý,ADJ,"O pivovaru v těchto místech je známo mimo jiné i díky soše sv. Anny, kterou nechala postavit Theresie Hirschin, „Bierschreiberin“ (manželka správce pivovaru), roku 1753.",2408,yes,,yes,
86,UDPipe,Uruguay,Uruguay,PROPN,"Jsou to nížiny, pahorkatiny až horské oblasti jižní Brazílie, Argentiny, Paraguay, Uruguay.",88,yes,,yes,
87,Stanza,Čepičková,Čepičková,PROPN,"Jednatelkou byla od jejího vzniku Jana Kappelerová, která je od roku 2010 psána pod jménem Jana Čepičková.",1,yes,,yes,
88,UDPipe,Grubingera,Grubinger,PROPN,"Kvůli teroristickému útoku uvázla asi tisícovka návštěvníků také v budově Koncertního domu (Konzerthaus), kde se konaly dva koncerty bubeníka Martina Grubingera se salcburským dechovým orchestrem.",1,yes,,yes,
89,Stanza,ženskými,ženský,ADJ,Cixous nespojuje ženské psaní pouze s ženskými autorkami.,85,yes,,yes,
90,UDPipe,úděl,úděl,NOUN,"Jeho úděl v seriálu zajímá především dámské publikum, které evidentně nebude zklamané…",160,yes,,yes,
91,Stanza,kvarteta,kvarteto,NOUN,"V utkání proti Plzni bude zajímavé sledovat, kdo z ofenzivního kvarteta Haraslín - Kuchta - Birmančevič - Olatunji dostane směrem k zahajovací sestavě černého Petra.",126,yes,,yes,
92,UDPipe,metadata,metadatum,NOUN,Tato metadata mají zásadní význam pro přidání aplikace na domovskou obrazovku nebo jiné uvedení vedle nativních aplikací.,30,yes,,yes,
93,UDPipe,motocykly,motocykl,NOUN,Mezi lety 1930 a 1945 vedle nákladních automobilů vyráběli nedaleko českých hranic i motocykly s motory Sachs.,209,yes,,yes,
94,Stanza,torpéd,torpédo,NOUN,"Od 9:20 útočily ve třech vlnách torpédové devastatory, sestřeleno jich bylo 35 z 41, aniž by japonským lodím způsobily škody, k čemuž přispěla i nespolehlivost amerických torpéd Mark 13.",74,yes,,yes,
95,UDPipe,CTLAB,CTLAB,NOUN,V Laboratoři rentgenové počítačové tomografie CTLAB CEITEC proto experti hřeb kompletně zrentgenovali.,1,no,PROPN,yes,
96,Stanza,banger,banger,NOUN,"Chcete, aby byl váš druhý film váš banger?",6,yes,,yes,
97,Stanza,Vltavskou,vltavský,ADJ,"V denním provozu bude zavedena náhradní autobusová doprava X25, která pojede z Manin přes Vltavskou na Strossmayerovo náměstí.",37,no,PROPN,no,Vltavská
98,UDPipe,součástí,součást,NOUN,"Být součástí takto prestižního šampionátu je pro mě velká výzva a udělám maximum pro to, abych v něm byl úspěšný,"" prohlásil po konci loňské sezony.",13637,yes,,yes,
99,UDPipe,spadlých,spadlý,ADJ,"Několik případů se týkalo odstranění spadlých větví a stromů na komunikace,“",51,yes,,yes,
100,Stanza,mhouřit,mhouřit,VERB,"Vždy a všude roztomilá princezna Fiona rázem přestala špulit rtíky, mhouřit milostně víčka a předvedla se v plné kráse.",3,yes,,yes,
101,UDPipe,do,do,ADP,Současný cíl ukončení prodeje do roku 2030 byl představen v listopadu 2020 jako hlavní část plánu zelené revoluce tehdejšího britského premiéra Borise Johnsona.,478308,yes,,yes,
102,Stanza,bodů,bod,NOUN,"Severočeši mají na 14. místě náskok pět bodů na sestupové příčky, patnáctá Chrudim ale odehrála o tři zápasy méně.",10320,yes,,yes,
103,Stanza,nad,nad,ADP,"Dvěma góly zařídil vítězství obhájců titulu útočník Connor Bedard, který stejným příspěvkem pomohl k úvodní výhře nad Velkou Británií 4:2.",43951,yes,,yes,
104,UDPipe,zónou,zóna,NOUN,"V Olomouci začne příští rok vznikat nová moderní čtvrť s obchody, multifunkčním sálem, volnočasovou zónou s řadou.",189,yes,,yes,
105,Stanza,Dačický,Dačický,PROPN,"Poté zahlédne na zemi dámský krejzl, což Dačický uvádí do souvislosti s návštěvou mladé měšťky u jejího manžela.",9,yes,,yes,
106,Stanza,pravopis,pravopis,NOUN,"U normálních lidí mě to štve, ale novinářská žumpa by pravopis znát měla.",90,yes,,yes,
107,UDPipe,zastrašovat,zastrašovat,VERB,"Může být jak opravdovou hrozbou ze strany Ruska, tak s tím lze i zastrašovat a blufovat.",35,yes,,yes,
108,Stanza,ušetřeny,ušetřený,ADJ,"Záměrem zadavatele byl plynulý přechod výroby z verze Flight I na verzi Flight II, čím budou ušetřeny náklady a zabráněno ztrátě zkušených pracovních sil.",41,yes,,yes,
109,UDPipe,Bocána,Bocán,PROPN,"Podle mluvčího policejního prezidia Jozefa Bocána jsme jednou z nejbezpečnějších zemí, neměli bychom prý však usínat na vavřínech.",4,yes,,yes,
110,UDPipe,lodím,lode,NOUN,"Přesto nové palivo a větší počet kotlů, dostačující pro rychlost 24 uzlů, znamenaly velký pokrok oproti starším bitevním lodím, dosahujícím obvykle nejvyšší rychlosti maximálně 21 ulů.",206,yes,,no,loď
111,Stanza,chameleonem,chameleon,NOUN,A potěšili ho speciální rouškou – s chameleonem.,11,yes,,yes,
112,Stanza,někdo,někdo,PRON,"Viděla jsem, jaké se jezdí časy, někdo jel, někdo nejel.",14116,yes,,yes,
113,Stanza,péče,péče,NOUN,"Pořadatelé Zápasu o duši, kterými jsou youtuber Petr „Pedro“ Florián s psychologem a hlavním organizátorem sbírky Tomášem „Kvápou“ Kvapilíkem, chtějí také upozornit, v jak závažném stavu se nachází péče o duševní zdraví dětí a dospívajících v Česku.",6448,yes,,yes,
114,UDPipe,dlouhodobého,dlouhodobý,ADJ,"Na třetině je také průtok vody v řece Desné v Šumperku, jen čtvrtinu dlouhodobého měsíčního průtoku má Třebůvka u Moravičan na Mohelnicku, Romží ve Stražisku na Prostějovsku protéká sotva pět procent normálu.",823,yes,,yes,
115,UDPipe,Laciný,laciný,ADJ,"Laciný kompilátor společnosti Borland měl velký vliv na komunitu okolo Pascalu, která se koncem 80. let zaměřila především na IBM PC.",3,yes,,yes,
116,Stanza,Bakaly,Bakala,PROPN,"Zároveň to byla jeho poslední akce na dosavadní domovské scéně v Sálu B. Bakaly a od roku 2012 se přestěhoval do Café Paradigma, nedaleké kavárny s kulturním klubem.",25,yes,,yes,
117,UDPipe,dámě,dáma,NOUN,"I všem Tvým příznivcům,“ vzkázala bývalé první dámě modelka „Jako princezna, moc sluší,“ napsala herečce její fanynka.",152,yes,,yes,
118,UDPipe,Legislativní,legislativní,ADJ,"Ministerský návrh zákona však následně narazil v Legislativní radě vlády, která přerušila jeho projednávání do doby, než bude schválená příslušná evropská směrnice.",173,yes,,yes,
119,Stanza,McCoye,McCoye,PROPN,společně s Williamem McCoye a desátníkem Charlesem Churchillem tvořil Quintal jádro vzbouřenců.,19,yes,,yes,
120,UDPipe,",",",",PUNCT,"Uber trvá na tom, že situaci nezanedbává.",5009644,yes,,yes,
121,Stanza,Šumulikovski,Šumulikovský,PROPN,"Relativně s nadhledem zvládal i místy vášnivou komunikaci hostující lavičky směrem do hřiště, kterou obstarával horkokrevný Veliče Šumulikovski.",2,yes,,no,Šumulikovski
122,UDPipe,Pilný,Pilný,PROPN,"Proměnili jsme se v nárokovou společnost, něco se stane a voláme po plošných opatřeních,“ podotkl Pilný.",45,yes,,yes,
123,UDPipe,neuhrané,uhraný,ADJ,"Ty góly bychom neměli dostávat, třikrát to byly nedůrazy kolem brankoviště a neuhrané souboje na mantinelu.",1,yes,,yes,
124,UDPipe,syna,syn,NOUN,"A zadruhé něco málo zhubne, ale já prostě nevím,"" lamentuje ohledně nehubnutí syna Quentina trojnásobná maminka v podcastu Agáta a Ornella show Tak jak nás neznáte.",6889,yes,,yes,
125,Stanza,Amon,Amon,PROPN,"Aktivista Amon Yiu Yeuk-wa z politického hnutí Demosisto v Hongkongu bude mluvit o aktuální politické situaci v regionu, kterým zmítají protesty a demonstrace.",28,yes,,yes,
126,UDPipe,.,.,PUNCT,"Levhart perský, s. 134.",5101671,yes,,yes,
127,Stanza,obvykle,obvykle,ADV,Při ní je obvykle symetrie mírně porušena.,8581,yes,,yes,
128,Stanza,spraší,sprašit,VERB,"Průběžná sedimentace spraší zachycuje téměř celé období čtvrtohor, tedy zhruba dva miliony let.",10,no,NOUN,no,spraš
129,UDPipe,odlehčí,odlehčit,VERB,"Pokud se sníží příjem potravy, může to vést k tomu, že se organismus jakoby odlehčí, dojde k částečné redukci hmotnosti.",31,yes,,yes,
130,UDPipe,závislé,závislý,ADJ,"Cena pšenice letos stoupne o více než 40 procent, což bude mít tvrdý dopad na rozvojové země, které jsou závislé na exportu zrna z Ukrajiny a Ruska.",984,yes,,yes,
131,UDPipe,sedmnáctiletých,sedmnáctiletý,ADJ,"V mládežnických klubech Pardubic si vedl tak dobře, že byl nominován do reprezentace sedmnáctiletých pro Světový pohár do 17 let 2016.",5,yes,,yes,
132,Stanza,týmy,tým,NOUN,"Jsou to kluci z celé Skandinávie, někteří prošli týmy v západní Evropě a něco za sebou mají.",4399,yes,,yes,
133,UDPipe,Laviolettovi,Laviolett,PROPN,"Laviolettovi přestává zapadat do skládačky, tentokrát ho ani nenapsal na soupisku.",1,yes,,yes,
134,UDPipe,OceanGate,OceanGate,X,"Již čtvrtým dnem pokračuje pátrání po turistické ponorce Titan společnosti OceanGate Expeditions, která mířila k vraku zaoceánské lodi Titanic.",68,no,PROPN,yes,
135,Stanza,geopolitickou,geopolitický,ADJ,"Řeči o clech zvyšují obavy z globální inflace, vytvářejí obavy ohledně hospodářského růstu a posilují geopolitickou nejistotu,"" uvedl analytik Andrew Ticehurst ze společnosti Nomura Holdings.",82,yes,,yes,
136,Stanza,kojenec,kojenec,NOUN,"V bytovém domě v jedné z okolních obcí tam podle Nadačního fondu Abbigail Williams zemřel čtyřměsíční kojenec drogově závislé matce ve chvíli, kdy s ní měly být v bytě další závislé osoby.",59,yes,,yes,
137,Stanza,Frejštejn,frejštetnout,VERB,Frejštejn se nachází v těsné blízkosti Podhradí nad Dyjí na jeho jižní straně.,3,no,PROPN,no,Frejštejn
138,UDPipe,hokejovou,hokejový,ADJ,"Zamiloval jsem se,"" vzpomínal mladý Korda nedávno na to, jak tenisová vášeň nakonec porazila tu hokejovou.",325,yes,,yes,
139,Stanza,",",",",PUNCT,"V březnovém volebním modelu měla dvě procenta, v květnovém 3,5 procenta.",5010036,yes,,yes,
140,UDPipe,označoval,označovat,VERB,Směr - SD označoval za hydru a sliboval konec vlády mafiánů.,362,yes,,yes,
141,UDPipe,Kásema,Kásem,PROPN,"Tělo velitele íránských elitních jednotek Kuds Kásema Solejmáního v úterý dorazilo do jeho rodného města Kermánu, kde bude generál pohřben.",64,yes,,yes,
142,UDPipe,",",",",PUNCT,"Semena hnědočerná, asi 1,1 mm dlouhá a 0,9 mm široká, testa zřetelně hrbolkovitá, skulptura semenné testy podobná R. haagei, jen poněkud výraznější.",5009644,yes,,yes,
143,Stanza,křovináře,křovinář,NOUN,"Jediné, z čeho mám obavy, je, že člověk nechtěně šlápne na opravdu maskovaného křovináře,“ líčí Haluza, v čem je problematický pohyb po džungli.",4,yes,,yes,
144,UDPipe,dokáže,dokázat,VERB,"Ještě pořád mě totiž dokáže zaskočit, jak se lidé dokážou starat o věci, do kterých je jim prd, jak někteří mají potřebu hodnotit, komentovat, posuzovat, odsuzovat, aniž by je někdo vyzval k názoru.",6117,yes,,yes,
145,UDPipe,zaslalo,zaslat,VERB,"Koncepce rozvoje instituce, které uchazeči představili, také ministerstvo zaslalo několika světovým galeriím, které se k nim vyjádřily.",85,yes,,yes,
146,Stanza,Kryry,Kryra,PROPN,"Silný downburst poničil 24. června 2021 vesnici Stebno, část obce Kryry v okrese Louny.",20,yes,,no,Kryry
147,UDPipe,Fuchs,Fuchs,PROPN,"Důležitá data o bombě, konkrétně plutoniové, která zničila Nagasaki, dodal Sovětům Klaus Fuchs.",113,yes,,yes,
148,Stanza,soudě,soudit,ADV,"Ač bereme v potaz, že „Post coitum omne animal triste“, každý tvor je po pohlavním styku smutný, soudě podle ukázky byl titulnímu jezovitovi Balbínovi sex se ženou možná ještě nepříjemnější než těch padesát ran bičem.",156,yes,,yes,
149,Stanza,uctívá,uctívat,VERB,"Na stěně v ní visí portrét původního kapitána lodi, kterého kmen uctívá jménem Svatý Joe.",42,yes,,yes,
150,UDPipe,neděli,neděle,NOUN,"Hanušovice na Šumpersku v neděli zaplavila povodňová vlna, většina lidí se nestihla evakuovat.",14399,yes,,yes,
151,UDPipe,mrazů,mráz,NOUN,"Teprve polovina května, tedy po třech zmrzlících, je datem, od kdy už je riziko nočních mrazů prakticky nulové.",123,yes,,yes,
152,UDPipe,Louka,louka,NOUN,Z Hřenska se podobně jako z obcí Mezná a Mezní Louka museli obyvatelé kvůli ohni evakuovat.,42,no,PROPN,no,Louka
153,UDPipe,souřadnice,souřadnice,NOUN,"Zobecněné souřadnice a čas postačují k popisu systému, jsou-li všechny zobecněné souřadnice vzájemně nezávislé.",179,yes,,yes,
154,Stanza,programová,programový,ADJ,"Popravdě jsem čekala, že tu bude poloprázdný stadion, že na nás nikdo nepřijde, když se lidem programová změna nelíbila.",69,yes,,yes,
