id,tool,token,lemma,assigned_pos,context,absolute_freq,pos_correct,correct_pos,lemma_correct,correct_lemma
23,Stanza,Νο25,νο25,NUM,Την νικηφόρα πορεία της σταμάτησε στον προημιτελικό η Γιαπωνέζα Risa Takashima (Νο25 του κόσμου) με 15-10.,6,yes,,yes,
24,UDPipe,Σιλντς,Σιλντς,PROPN,"Αποκαλύπτει πως είχε πέσει θύμα βιασμού - «Βρέθηκε ξαφνικά πάνω μου, ήταν σαν πάλη» Μπρουκ Σιλντς:",85,yes,,yes,
25,Stanza,εκτοξεύσουν,εκτοξεύω,VERB,"Οι τρεις έγχρωμοι ποδοσφαιριστές ήταν οι μοιραίοι στη διαδικασία των πέναλτι και στοχοποιήθηκαν από μερικούς συμπατριώτες τους, οι οποίοι βρήκαν αφορμή για να εκτοξεύσουν ρατσιστικά παραληρήματα.",52,yes,,yes,
26,Stanza,παγούρι,παγούρι,NOUN,"Κάθε φορά που αφήνεις το ποτήρι ή το παγούρι σου άδειο, συνήθως παραμένει έτσι για ώρες.",30,yes,,yes,
27,Stanza,γαστρικού,γαστρικός,ADJ,Καταδικάστηκε για τον θάνατο του 24χρονου από λάθος τοποθέτηση γαστρικού δακτυλίου αλλά συνεχίζει να χειρουργεί!,59,yes,,yes,
28,UDPipe,δοξομανής,δοξομανής,ADJ,Έχει διατυπωθεί η άποψη ότι δεν το έκανε ίσως για να μη θεωρηθεί δοξομανής ή γιατί δεν το θεώρησε σημαντικό.,2,yes,,yes,
29,Stanza,Κομοτηνής,κομοτηνός,ADJ,"Βαριά τραυματισμένος νοσηλεύεται στο Σισμανόγλειο Νοσοκομείο Κομοτηνής, 41χρονος από τη Γεωργία, μετά από απόπειρα ανθρωποκτονίας, λίγο πριν τα μεσάνυχτα της Κυριακής.",330,no,PROPN,no,Κομοτηνή
30,UDPipe,Δροσιά,Δροσιά,PROPN,"Με τον οικιστικό κορεσμό της Αττικής και την επέκταση του αστικού ιστού όλο και πιο βόρεια, η Δροσιά αναγνωρίζεται εν έτει 2007 ως Δήμος καθώς υπολογίζεται πως ξεπερνά τους 7.",88,yes,,yes,
31,UDPipe,υπαρχόντων,πάαρχων,NOUN,"Η Όλγα Γεροβασίλη σημείωσε ότι «η ΝΔ επέλεξε να εκθρέψει κοράκια και να εγκαταλείψει στο έλεός τους τους πολίτες, με στόχο την φτωχοποίηση και τη βίαιη μεταβίβαση υπαρχόντων και περιουσιών».",195,yes,,no,υπάρχοντα
32,Stanza,Θέατρου,θέατρος,ADJ,Bασισμένη στο θεατρικό έργο «Τοκ-Τοκ» του και σε σκηνοθεσία του η παράσταση του Θέατρου Δέντρο έρχεται στο Θέατρο Ριάλτο την Κυριακή 14 Νοεμβρίου.,21,no,NOUN,no,θέατρο
33,UDPipe,Γκέλβερι,Γκέλβερι,PROPN,Οι Τούρκοι του Γκέλβερι έκλαιγαν και μας παρακαλούσαν να μη φύγουμε.,6,yes,,yes,
34,UDPipe,είχε,έχω,VERB,"Ο Πάλπατιν εκτός απο καγκελάριος, στα κρυφά είχε το όνομα Νταρθ Σίντιους και ήταν ο ηγέτης των Σιθ, ενός αρχαίου τάγματος που πολεμούσαν τους Τζεντάι για αιώνες.",183961,yes,,yes,
35,Stanza,ήδη,ήδη,ADV,"Αν και δεν υπάρχει ακόμα καμιά επίσημη δήλωση περί της έκτασης που είχε καεί, εκτιμάται ότι έχουν ήδη καταστραφεί περί τα 11.000 στρέμματα χορτολιβαδικής έκτασης.",40896,yes,,yes,
36,Stanza,αιφνιδιαστικά,αιφνιδιαστικά,ADV,"Εχοντας γίνει εδώ και καιρό αναπόσπαστο μέρος όλης της ανθρωπότητας, αυτό το ηχητικό ποίημα αρχίζει σαν μια κανονικής μορφής συμφωνία και καταλήγει – αιφνιδιαστικά – στην ενθουσιώδη καντάτα.",209,yes,,yes,
37,UDPipe,γέλιο,γέλιο,NOUN,"Υποψιάζομαι όχι ακριβώς με αυτά που συμβαίνουν στον ΣΥΡΙΖΑ αλλά για το πώς η διάσπαση, για ιδεολογικούς λόγους, ενός αριστερού κόμματος αυτού που, υποτίθεται, θα έκανε, ως κυβέρνηση, την «έφοδο στον ουρανό» προκαλεί, αντί για προβληματισμό, γέλιο.",686,yes,,yes,
38,Stanza,Σάσαρι,Σάσαρι,X,ΠΑΟΚ: Και ο Παναθηναϊκός για Τσόλακ!,41,yes,,yes,
39,Stanza,και,και,CCONJ,"Όπως και να ‘χει, για την ώρα η διοίκηση εκπληρώνει έστω και καθυστερημένα τις υποσχέσεις της για ενίσχυση, έχοντας φέρει στην Νταμιάν",3091558,yes,,yes,
40,UDPipe,"νομοσχέδιο,","νομοσχέδιο,",NOUN,"Όπως αναφέρεται στο νομοσχέδιο, «στα σημεία αυτά, ο καταναλωτής θα επιστρέφει τις φιάλες και θα εισπράττει το αντίτιμο της εγγυοδοσίας», το οποίο όμως θα προπληρώνει κατά την αγορά των πλαστικών φιαλών – αλουμινένιων κουτιών.",8,no,"NOUN, PUNCT",no,"νομοσχέδιο and ,"
41,Stanza,Επιπλέον,επιπλέον,ADV,"Επιπλέον, έκανε εκστρατεία για την προστασία των θαλασσών και των φαλαινών.",14905,yes,,yes,
42,Stanza,θανατική,θανατικός,ADJ,"Είκοσι τρεις αμερικανικές πολιτείες έχουν καταργήσει τη θανατική ποινή, ενώ έξι άλλες έχουν επιβάλει μορατόριουμ στις εκτελέσεις έπειτα από απόφαση των κυβερνητών τους.",412,yes,,yes,
43,UDPipe,δικαιώματα,δικαίωμα,NOUN,"Ότι τα ανθρώπινα δικαιώματα έχουν σημασία, ότι η αξιοπρέπεια έχει σημασία, ότι αυτοί που βασανίζουν και δολοφονούν δεν το κάνουν ατιμώρητοι.",7365,yes,,yes,
44,UDPipe,Φαρούκ,Φαρούκ,PROPN,"Ο πρώην πρεσβευτής στην Ουάσιγκτον, Φαρούκ Λόγκογλου, δήλωσε στην DW ότι ο Ερντογάν ήθελε να δώσει την εντύπωση ότι οι τουρκοαμερικανικές σχέσεις σώθηκαν.",59,yes,,yes,
45,Stanza,σύνδρομα,σύνδρομα,NOUN,"Ακόμη διενεργήθηκαν εξετάσεις για τα γονίδια, εξειδικευμένος γενετικός έλεγχος και εξετάστηκαν όλα τα σύνδρομα που προκαλούν αιφνίδιο θάνατο με αρνητικό αποτέλεσμα σε όλα.",103,yes,,no,σύνδρομο
46,UDPipe,καμπανάκι,καμπανάκι,NOUN,"χτύπησε καμπανάκι και είπε ότι αναμένονται καταιγίδες, αλλά και χιονοπτώσεις στα ορεινά της Αττικής από σήμερα έως το πρωί της Δευτέρας.",324,yes,,yes,
47,UDPipe,αλλα,αλλος,DET,"Μ ην μας απειλεις δεν εχεις τετοια δυνατοτητα, μπορεις να απειλησεις αλλα κρατη οχι ομως εμας.",682,yes,,no,άλλος
48,Stanza,.,.,PUNCT,Από το 2009 είναι ο επικεφαλής των νομικών συμβούλων του Οικουμενικού Πατριαρχείου.,4648856,yes,,yes,
49,UDPipe,που,που,PRON,"Μερικές φορές αποκαλείται και «γραμμή ΗΣΑΠ», από το ακρωνύμιο της εταιρείας «Ηλεκτρικοί Σιδηρόδρομοι Αθηνών - Πειραιώς» που ήταν υπεύθυνη για τη λειτουργία της από το 1976 μέχρι το 2011.",1194703,yes,,yes,
50,UDPipe,νεότερους,νεότερος,ADJ,Η Ελένη Γερασιμίδου παραχώρησε συνέντευξη στο Λοιπόν και στην Νάνσυ Νικολαϊδου και μίλησε για το πως αντιμετώπιζαν οι παλιότεροι ηθοποιοί την επιτυχία σε σχέση με τους νεότερους.,520,yes,,yes,
51,UDPipe,Ρομποτικής,ρομποτικός,ADJ,"Το Φεστιβάλ στον Βόλο διοργανώνεται σε συνεργασία με την Εταιρεία Αξιοποίησης και Διαχείρισης Περιουσίας του Πανεπιστημίου Θεσσαλίας και πιο συγκεκριμένα με την ομάδα Εκπαιδευτικής Ρομποτικής και δράσεων STEAM με παιδιά, TALOS του Πανεπιστημίου Θεσσαλίας.",108,no,PROPN,no,Ρομποτική
52,Stanza,στοιχειώνουν,στοιχειώνω,VERB,"Με την άφιξή της εκεί, αρχίζει να βλέπει συνεχώς οράματα με την ίδια να εικονίζεται ως ένα σκοτεινό Άβαταρ, τα οποία τη στοιχειώνουν.",60,yes,,yes,
53,UDPipe,ευχέρειας,ευχέρεια,NOUN,"Το επίπεδο ευχέρειας όμως ποικίλλει σημαντικά σε ολόκληρο τον πληθυσμό, κυρίως λόγω της απουσίας καθολικής πρόσβασης στη δημόσια εκπαίδευση πριν από το 1953, αλλά και λόγω της μετανάστευσης και της εθνοτικής ποικιλομορφίας.",15,yes,,yes,
54,Stanza,μπασκεμπολίστας,μπασκεμπολίστα,NOUN,Οι εξετάσεις που θα υποβληθεί ο μπασκεμπολίστας θα καθορίσουν αν τελικά θα αγωνιστεί με τη φανέλα της “γαλανόλευκης”.,48,yes,,no,μπασκεμπολίστας
55,Stanza,Πίναρα,Πίναρος,PROPN,"Τα Πίναρα αποτελούσαν μία από τις έξι επισημότερες πόλεις της Λυκίας και αποτελούσε μέρος της λεγόμενης Συμπολιτείας των Λυκίων και μάλιστα με ισχύ τριών ψήφων στις διάφορες ψηφοφορίες, με ανάλογες βέβαια υποχρεώσεις.",1,yes,,no,Πίναρα
56,Stanza,Μητροπολίτης,μητροπολίτης,NOUN,"Το 1981, μετά την πλήρη αποκατάσταση της υγείας του, αναχώρησε και πάλι για την Αφρική, αυτή τη φορά ως Μητροπολίτης Ανατολικής Αφρικής.",1224,yes,,yes,
57,Stanza,αρχισκόρερ,αρχισκόρερος,ADJ,Ο Βρετανός φορ ανέλαβε την εκτέλεση αλλά ο «σπεσιαλίστας» Χέντερσον του είπε όχι και έγινε ο πρώτος κίπερ που απέκρουσε πέναλτι του αρχισκόρερ των Σπερς στην Premier League την τελευταία τετραετία.,49,no,NOUN,no,αρχισκόρερ
58,Stanza,τσιτάχ,τσιτάχ,NOUN,"Την ίδια τακτική χρησιμοποιούν και οι λεοπαρδάλεις, οι οποίες όμως έχουν το πλεονέκτημα ότι μπορούν να επιβιώνουν καλύτερα με μικρότερα θηράματα από ότι τα λιοντάρια και τα τσιτάχ.",11,yes,,yes,
59,Stanza,κατοικούν,κατοικώ,VERB,"Στην περιοχή του Γκολάν κατοικούν περίπου 11.000 Δρούζοι, μεταξύ Ισραήλ, Συρίας και Λιβάνου.",606,yes,,yes,
60,Stanza,αγγίζουν,αγγίζω,VERB,«Τέλος η ανάλυση των αμφισβητούμενων φάσεων»,717,yes,,yes,
61,Stanza,πεπτικό,πεπτικός,ADJ,Οι αγαπημένες μας τροφές όμως συχνά βλάπτουν το πεπτικό μας σύστημα.,151,yes,,yes,
62,Stanza,Μορς,Μορς,PROPN,Έτσι καταφέρνει η Κλαρκ μέσω της Τζόσεφιν χρησιμοποιώντας κώδικα Μορς να ειδοποιήσει την ομάδα Μπέλαμι ότι είναι ζωντανή.,34,yes,,yes,
63,Stanza,79ης,79ος,ADJ,"Συνάντηση με την Υπουργό Εξωτερικών του Κοσόβου, Donika Gërvalla-Schwarz είχε σήμερα στη Νέα Υόρκη ο Υπουργός Εξωτερικών Γιώργος Γεραπετρίτης στο περιθώριο των εργασιών της 79ης Συνόδου της Γενικής Συνέλευσης του ΟΗΕ.",24,yes,,yes,
64,Stanza,τεφροδόχος,τεφροδόχος,NOUN,Μια άλλη γυάλινη τεφροδόχος περιείχε τα οστά μιας γυναίκας που ονομαζόταν Hispana.,6,yes,,yes,
65,UDPipe,χάρες,χάρα,NOUN,"Δεν ζητάμε χάρες», θέλουμε «το βιός μας.",53,yes,,no,χάρη
66,Stanza,Κάλντκοτ,Κάλντκοτ,PROPN,"Από την πλευρά του ο Άντριου Κάλντκοτ, συνήγορος της συγγραφέως και του εκδοτικού οίκου, τόνισε πως ο χαρακτηρισμός «ταμίας» για τον Αμπράμοβιτς ήταν εντός εισαγωγικών, γεγονός που σημαίνει ότι επρόκειτο για τα και όχι για την άποψη της συγγραφέως.",1,yes,,yes,
67,UDPipe,.,.,PUNCT,Είναι βαρύ να ακούς κάθε μέρα ότι κόβεται η σειρά που παίζεις.,4976953,yes,,yes,
68,Stanza,Τ/κ,Τ/κ,PROPN,"Δεν προσκλήθηκε στην Άγκυρα από τον Τούρκο Πρόεδρο ο Πρόεδρος της Δημοκρατίας, Νίκος Χριστοδουλίδης, δήλωσε στον Τ/κ αρθρογράφο της Κίπρις, Χασάν Χάστουρερ ο Τ/κ.",94,no,ADJ,yes,
69,UDPipe,φτιαγμένη,φτιαγμένος,VERB,"Ήταν φτιαγμένη από δύο κομμάτια ύφασμα, ενωμένα μεταξύ τους.",195,yes,,yes,
70,UDPipe,Αποτέλεσε,αποτελώ,VERB,Αποτέλεσε ένα σημαντικό εμπορικό και αλιευτικό λιμάνι.,175,yes,,yes,
71,Stanza,Παράδοξο,παράδοξο,NOUN,"Σε ό,τι αφορά στην Ευρωζώνη, η πιο πρόσφατη μελέτη της ΕΚΤ με τίτλο “Το Παράδοξο των Τραπεζογραμματίων” επισημαίνει το φαινόμενο της ταυτόχρονης αύξησης των ηλεκτρονικών συναλλαγών και της ζήτησης για τραπεζογραμμάτια.",14,yes,,yes,
72,UDPipe,αφηγήσεων,αφόγηση,NOUN,Στόχος των ηχογραφημένων αφηγήσεων είναι η ενίσχυση της εκπαίδευσης με την αξιοποίηση της δυναμικής της αφήγησης.,55,yes,,no,αφήγηση
73,UDPipe,παρεμβολών,παρεμβολή,NOUN,"Εντύπωση προκαλεί το γεγονός ότι τα μέλη της οργάνωσης διέθεταν φορητούς πομποδέκτες συγχρονισμένους στις συχνότητες της Ελληνικής Αστυνομίας καθώς και συσκευές παρεμβολών ή παρακώλυσης συγκοινωνιών, τύπου «jammer».",22,yes,,yes,
74,Stanza,50-75,50-75,NUM,Ερευνητές από τη Βραζιλία που παρακολούθησαν πάνω από 1700 άτομα 50-75 ετών βρήκαν ότι οι συμμετέχοντες που δεν μπορούσαν να ολοκληρώσουν το συγκεκριμένο τεστ ισορροπίας είχαν 84% πιθανότητες πρόωρου θανάτου συγκριτικά με όσους το ολοκλήρωναν με άνεση.,6,yes,,no,"50, -, 70"
75,UDPipe,Φαντασίας,Φαντασία,NOUN,Το 2004 απέσπασε το Διεθνές Βραβείο Φαντασίας στην κατηγορία Επίτευγμα Ζωής και το 2007 το βραβείο Grand Master Award από την οργάνωση Mystery Writers of America.,32,yes,,no,φαντασία
76,UDPipe,Keith,Keith,X,στο 15΄ και πριν το 45΄ ο τερματοφύλακας της Μπόλτον Keith Branagan απέκρουσε πέναλτι!,52,yes,,yes,
77,UDPipe,μεταφέραν,μεταφέρω,VERB,Εκεί διασώστες και εθελοντές με χαλιά και κουβέρτες μεταφέραν μπάζα από 13οροφο κτήριο που έχει πέσει προκειμένουν να φτάσουν στο σημείο όπου ακούστηκε μια ανθρώπινη φωνή.,3,yes,,yes,
78,UDPipe,campervan,campervan,X,Ιδανικά ο γύρος της Ισλανδίας με campervan.,1,yes,,yes,
79,UDPipe,Φιλιππίδης,Φιλιππίδης,PROPN,"Μου λέτε ""αν ο Φιλιππίδης αθωωθεί"".",583,yes,,yes,
80,UDPipe,γραφειοκρατών,γραφειοκρατής,NOUN,"Οι εργαζόμενοι της Υπηρεσίας Πληροφοριών συγκαταλέγονταν μεταξύ των καλύτερα αμειβομένων κυβερνητικών γραφειοκρατών στο κομμουνιστικό Αφγανιστάν και γι' αυτό, η πολιτική κατήχηση των αξιωματούχων της Υπηρεσίας Πληροφοριών ήταν κορυφαία προτεραιότητα.",16,yes,,yes,
81,Stanza,για,για,ADP,Οι πληροφορίες αυτές για την Αγία Μαρίνα δημοσιεύονται σε ενημερωτικό φυλλάδιο του Πολιτιστικού Οργανισμού Κορώνου Νάξου και προέρχονται από τον αρχαιολόγο Γεώργιο Μαστορόπουλο.,1218659,yes,,yes,
82,UDPipe,να,να,SCONJ,"Αυτό μπορεί να συγκριθεί με τον ιταλικό μέσο όρο, που είναι 18,06%",1922273,yes,,yes,
83,Stanza,διέθεσε,διαθέτω,VERB,Η Βρετανία διέθεσε 103 δισ.,295,yes,,yes,
84,Stanza,΄Vision,΄Vision,X,"Πρόσφατα μάλιστα ο κ.Στοϊμενίδης, εξελέγην ομόφωνα Πρόεδρος της Ομάδας Εργασίας ΄΄Vision Zero΄΄.",1,no,"PUNCT, X",no," , Vision"
85,Stanza,βρεφικών,βρεφικός,ADJ,"Η ανάγκη ξεκινάει ήδη από τις βαθμίδες της προσχολικής αγωγής και δη των βρεφικών και παιδικών σταθμών, όπου καθώς δεν είναι υποχρεωτικοί, δεν υπόκεινται στο Υπουργείο Παιδείας και οι δημόσιες δομές δεν επαρκούν ούτε στο ελάχιστο.",29,yes,,yes,
86,Stanza,Αντισυνταγματικό,αντισυνταγματικός,ADJ,"Αντισυνταγματικό το νομοσχέδιο για τα ιδιωτικά πανεπιστήμια, σύμφωνα με οκτώ έγκριτους συνταγματολόγους»",3,yes,,yes,
87,UDPipe,τηνένοπλη,τηνένοπλος,ADJ,"Θυμίζεται πως χθες πήραν τον δρόμο για τις φυλακές, αμέσως μετά τις απολογίες τους στον ανακριτή, ο που κατηγορείται για τηνένοπλη ληστεία τράπεζας επί της οδού Μητροπόλεως στις 14 Σεπτεμβρίου, αλλά και η του, επίσης κατηγορούμενη στην υπόθεση.",1,no,"DET, ADJ",no,"o, ένοπλος"
88,Stanza,λυπημένος,λυπημένος,ADJ,"Έψαξε λοιπόν, στο δάσος για να βρει νερό αλλά μάταια και έτσι, επέστρεφε λυπημένος.",146,yes,,yes,
89,UDPipe,σκοινί,σκοινί,NOUN,Έτσι δημοσιεύουν λεπτομέρειες ακόμα και για το σκοινί που θα χρησιμοποιηθεί για τον απαγχονισμό των Ναζιστών.,204,yes,,yes,
90,Stanza,προσκολλημένη,προσκολλώ,VERB,«Θα τον παντρευτώ τον Γιώργη αλλά θα μείνω προσκολλημένη στον Πετρή».,38,yes,,no,προσκολλημένος
91,Stanza,Φωτός,φωτός,NOUN,Κι ο συντάκτης τού «Φωτός» μασκαράς είναι κι αυτός»,211,yes,,yes,
92,UDPipe,αντέξω,αντώ,VERB,"Δεν μπορώ να αντέξω άλλο αυτό το βάρος», είπε συντετριμμένη προς την Κνέσετ (τη Βουλή τους) με τη φωνή της να σπάει.",104,yes,,no,αντέχω
93,UDPipe,το,ο,DET,"Όταν τραγουδάς με τον πατέρα σου, υπάρχει σύγκριση, και δεν υπάρχει περίπτωση να είσαι καλύτερος από το original», εξήγησε στη συνέχεια.",1989785,yes,,yes,
94,Stanza,αφοσιωμένη,αφοσιώνω,VERB,"Οι άνθρωποι που βρίσκονται σε μια αφοσιωμένη σχέση που διαρκεί καιρό ή σε έναν γάμο, νιώθουν πάντα μια μεγαλύτερη πίεση από εκείνους που ζουν πιο ελεύθεροι.",195,no,ADJ,no,αφοσιωμένος
95,UDPipe,TKMS,TKMS,X,"Οι αμερικανικές LCS είναι εντελώς εκτός παιχνιδιού, ενώ δεν φαίνεται να προχωράει μια πρόταση της γερμανικής TKMS σε συνεργασία με την ισραηλινή ΙΑΙ για ένα σκάφος βασιζόμενο στην κορβέτα SAAR-6 του ισραηλινού ναυτικού.",3,yes,,yes,
96,Stanza,πλείστον,πλείστον,NOUN,Χρησιμοποιείται ως επί το πλείστον ως πρώτο όργανο ή μέσο εναρμόνισης.,957,no,ADV,yes,
97,Stanza,1686,1686,NUM,"Will&Ariel Durant, Παγκόσμιος Ιστορία του Πολιτισμού, τομ.",45,yes,,yes,
98,Stanza,ελληνική,ελληνικός,ADJ,"Ο καναδικός οίκος αξιολόγησης DBRS Morningstar, ο πρώτος αναγνωρισμένος από την ΕΚΤ που απένειμε πέρυσι στην ελληνική οικονομία την επενδυτική βαθμίδα, προχώρησε σήμερα σε αναβάθμιση των προοπτικών της, από σταθερές σε θετικές.",16145,yes,,yes,
99,UDPipe,«Ω,«ω,PUNCT,«Ω τον ηλίθιον τον Σουλτάνον!,44,no,"PUNCT, INTJ",no,"«, ω"
100,Stanza,ήταν,είμαι,AUX,"Ο Ρόμπινς κατασκεύασε ένα μηχάνημα που μπορούσε να σκάψει 55 μέτρα σε 24 ώρες, που ήταν δέκα φορές γρηγορότερα από οποιαδήποτε άλλη μέθοδο εκσκαφής της εποχής.",291230,yes,,yes,
101,Stanza,στεγανοποίηση,στεγανοποίηση,NOUN,"Βιδώνοντας τη βαλβίδα του πώματος πλήρως πιάνει την άκρη του πώματος με μια λοξή στένωση στο γυαλί, που παρέχει μια δεύτερη στεγανοποίηση.",39,yes,,yes,
102,UDPipe,Πραγματικά,πραγματικά,ADV,"Πραγματικά την έχω δει ότι πονάει οπότε θα ήταν λάθος από μένα να την ψηφίσω, την θεωρώ και φίλη μου και δεν μπορεί να δώσει το 100%",949,yes,,yes,
103,Stanza,TDI,TDI,NOUN,Ο πιο ισχυρός 2.0 TDI των 150 ίππων και 360 Nm προσφέρει επιτάχυνση στο 0-100 χλμ.,21,no,X,yes,
104,UDPipe,Milvus,Milvus,X,"730 Μπορούν επίσης να ενωθούν με άλλα αετόμορφα, όπως Milvus sp.",2,yes,,yes,
105,UDPipe,άτλαντα,άτλαντα,NOUN,Η επέκταση αυτού του χαρακτηριστικού στην Ανδαλουσία είναι περίπου αυτή που αναφέρεται στις μελέτες του γλωσσικό και εθνογραφικό άτλαντα της Ανδαλουσίας.,29,yes,,no,άτλας
106,Stanza,τύχες,τύχη,NOUN,Ο ΣΥΡΙΖΑ «σερβίρει» τα ίδια οδυνηρά σχέδια με περιτύλιγμα δήθεν «δικαιοσύνης»,179,yes,,yes,
107,UDPipe,χαμογέλασε,χαμογέλω,VERB,"Ο παίκτης χαμογέλασε ακούγοντάς το, όμως δεν κατάφερε να συνεχίσει στο παιχνίδι.",174,yes,,no,χαμογελώ
